gene	deathrate	p.value	q.value	SD	low-confidence interval	upper-confidence interval	tag
FRE2	-0.002277846	0.026750452	0.047074836	0.000733988	-0.004164622	-0.00039107	up
YHR126C	-0.002266032	0.017524084	0.038218266	0.000649825	-0.003936461	-0.000595602	up
GVP36	-0.002255824	0.020340155	0.040894266	0.000673483	-0.003987067	-0.000524582	up
RSA1	-0.002255268	0.148486153	0.125488217	0.00132101	-0.005651031	0.001140495	up
YBR250W	-0.002254937	0.479543757	0.26616105	0.002952873	-0.009845538	0.005335664	up
PHM8	-0.002250879	0.015137539	0.035443937	0.000620908	-0.003846974	-0.000654785	up
YJL022W	-0.002250662	0.017012159	0.037828503	0.000640328	-0.003896676	-0.000604647	down
MNN5	-0.002246925	0.031598242	0.050947434	0.000759655	-0.00419968	-0.00029417	down
YPR172W	-0.002242212	0.024865205	0.045598771	0.000707725	-0.004061477	-0.000422947	up
YJL045W	-0.002240917	0.534818476	0.284238459	0.003364028	-0.010888426	0.006406593	up
YNL035C	-0.002237956	0.017751293	0.038315262	0.000643992	-0.003893391	-0.000582522	down
RIM8	-0.002227803	0.521378313	0.280001126	0.003232526	-0.010537274	0.006081669	down
GIS1	-0.002219908	0.020031062	0.0406198	0.000659998	-0.003916486	-0.000523329	down
CBR1	-0.002219527	0.003708495	0.017798547	0.000433538	-0.003333972	-0.001105081	up
RAV2	-0.002215226	0.004307512	0.019030438	0.000448072	-0.003367032	-0.001063421	up
AGE2	-0.002209858	0.000409637	0.008012894	0.000265567	-0.002892521	-0.001527195	up
TIM21	-0.002200563	0.0195456	0.040098744	0.000649896	-0.003871173	-0.000529953	up
GPR1	-0.00219912	0.002471111	0.01521497	0.000391375	-0.003205183	-0.001193058	down
YLR422W	-0.002189344	0.002943801	0.016183765	0.000405482	-0.00323167	-0.001147018	up
OYE2	-0.002188927	0.174360638	0.138832625	0.001383125	-0.005744364	0.00136651	up
XBP1	-0.002178479	0.026899466	0.047149825	0.00070308	-0.003985804	-0.000371155	up
YIL168W	-0.002174579	0.000137069	0.006073812	0.000207687	-0.002708455	-0.001640703	up
YNL022C	-0.002170453	8.78E-05	0.005622783	0.00018904	-0.002656395	-0.001684511	up
YFR012W	-0.00216676	0.439512707	0.251590472	0.002581263	-0.008802108	0.004468588	up
FAR3	-0.002164992	0.023205185	0.044076958	0.000670271	-0.003887978	-0.000442006	down
SDS3	-0.00216467	0.012765196	0.032306108	0.000571231	-0.003633067	-0.000696274	up
PDX3	-0.002164625	0.091747212	0.093668483	0.001039338	-0.004836329	0.000507079	down
SIP18	-0.002158865	0.581989794	0.29903956	0.003670579	-0.011594389	0.007276658	down
MPA43	-0.002149508	0.046730315	0.063405023	0.000818394	-0.004253258	-4.58E-05	up
OTU2	-0.002142845	0.020220497	0.040770658	0.000638723	-0.003784735	-0.000500955	down
YFR007W	-0.002137532	0.004117595	0.01867916	0.000427819	-0.003237276	-0.001037787	down
URA2	-0.002135996	0.004123473	0.01867916	0.000427654	-0.003235316	-0.001036675	down
YNL211C	-0.002134201	3.54E-05	0.004033212	0.000154236	-0.002530676	-0.001737726	down
TOM71	-0.002133899	0.013718758	0.033771554	0.000573701	-0.003608645	-0.000659154	down
YPL141C	-0.002133769	0.239394391	0.171632713	0.001598182	-0.006242027	0.00197449	up
YNL022C	-0.002130955	0.000233266	0.006257704	0.000227405	-0.002715518	-0.001546391	down
URA7	-0.002130532	0.449484688	0.255678766	0.002597967	-0.008808819	0.004547754	up
CTI6	-0.002120344	0.49649776	0.271821761	0.002892943	-0.009556889	0.005316202	up
MRS3	-0.002118162	0.013214709	0.033108472	0.000563973	-0.003567901	-0.000668424	down
MSL1	-0.002117883	0.016348414	0.036920409	0.000596209	-0.003650487	-0.000585279	up
